Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,2070.5,1769.0,2448.0,2034.0,2060.0,1.0,0.3,1437.2
2.6,1649.8,1410.0,1956.0,1602.0,1651.0,1.0,0.3,1143.2
2.7,1311.6,1111.0,1575.0,1256.0,1297.0,1.0,0.3,913.0
2.8,1043.1,873.0,1214.0,1015.0,1036.0,1.0,0.3,725.8
2.9,825.9,697.0,955.0,804.0,819.0,1.0,0.3,574.8
3.0,658.9,557.0,764.0,649.0,654.0,1.0,0.3,453.8
3.1,521.4,442.0,600.0,508.0,514.0,1.0,0.3,363.9
3.2,414.9,347.0,470.0,409.0,413.0,1.0,0.3,288.9
3.3,331.0,263.0,389.0,328.0,330.0,1.0,0.3,229.4
3.4,265.1,200.0,310.0,264.0,271.0,1.0,0.3,183.6
3.5,209.5,153.0,245.0,213.0,220.0,1.0,0.3,144.2
3.6,165.7,123.0,198.0,169.0,176.0,1.0,0.3,114.2
3.7,129.3,100.0,159.0,134.0,134.0,1.0,0.3,90.5
3.8,101.5,80.0,128.0,104.0,84.0,1.0,0.3,72.3
3.9,79.5,59.0,105.0,80.0,82.0,1.0,0.3,56.8
4.0,65.2,47.0,82.0,65.0,67.0,1.0,0.3,46.5
4.1,50.2,32.0,66.0,49.0,52.0,1.0,0.3,35.4
4.2,39.6,24.0,53.0,39.0,40.0,1.0,0.3,27.5
4.3,30.5,20.0,37.0,30.0,37.0,1.0,0.3,20.9
4.4,24.3,16.0,34.0,25.0,27.0,1.0,0.3,17.1
4.5,18.8,12.0,26.0,21.0,21.0,1.0,0.3,13.3
4.6,14.0,6.0,20.0,13.0,19.0,1.0,0.3,10.0
4.7,12.0,3.0,17.0,11.0,15.0,1.0,0.3,8.7
4.8,9.5,1.0,14.0,10.0,10.0,1.0,0.3,6.9
4.9,7.7,1.0,12.0,6.0,6.0,1.0,0.3,5.7
5.0,6.5,0.0,10.0,6.0,8.0,0.9,0.3,4.9
5.1,4.9,0.0,8.0,5.0,6.0,0.9,0.3,3.9
5.2,3.9,0.0,6.0,4.0,4.0,0.9,0.3,3.0
5.3,3.3,0.0,5.0,3.0,4.0,0.9,0.3,2.5
5.4,2.6,0.0,5.0,2.0,3.0,0.9,0.3,1.8
5.5,2.3,0.0,5.0,2.0,2.0,0.8,0.3,1.7
5.6,1.4,0.0,3.0,1.0,1.0,0.8,0.3,1.1
5.7,1.0,0.0,2.0,1.0,2.0,0.6,0.3,0.9
5.8,0.9,0.0,2.0,0.0,0.0,0.5,0.3,0.8
5.9,0.7,0.0,2.0,0.0,0.0,0.5,0.3,0.6
6.0,0.6,0.0,2.0,0.0,0.0,0.4,0.3,0.5
6.1,0.6,0.0,2.0,0.0,0.0,0.4,0.3,0.5
6.2,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
