Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.8424427E-5,3.120572E-5,0.10002808,3205.4407,0.1,1.2181328E-4,1.337327E-4,0.10012036,748.6603,0.1,0.0014820677,0.0016271127,0.1014644,62.358555,0.1,0.014722223,0.016165402,0.11454886,7.0860515,0.1
6.1,2.8424427E-5,3.120572E-5,0.10002808,3205.4407,0.1,1.2181328E-4,1.337327E-4,0.10012036,748.6603,0.1,0.0014820677,0.0016271127,0.1014644,62.358555,0.1,0.014722223,0.016165402,0.11454886,7.0860515,0.1
6.2,2.8424427E-5,3.120572E-5,0.10002808,3205.4407,0.1,1.2181328E-4,1.337327E-4,0.10012036,748.6603,0.1,0.0014820677,0.0016271127,0.1014644,62.358555,0.1,0.014722223,0.016165402,0.11454886,7.0860515,0.1
6.3,1.48860645E-5,1.6081389E-5,1.6081389E-5,1.0,0.0,6.379586E-5,6.8918576E-5,6.8918576E-5,1.0,0.0,7.7643775E-4,8.3878887E-4,8.3878887E-4,1.0,0.0,0.007737305,0.008359048,0.008359048,1.0,0.0
6.4,1.48860645E-5,1.6081389E-5,1.6081389E-5,1.0,0.0,6.379586E-5,6.8918576E-5,6.8918576E-5,1.0,0.0,7.7643775E-4,8.3878887E-4,8.3878887E-4,1.0,0.0,0.007737305,0.008359048,0.008359048,1.0,0.0
6.5,1.2797581E-5,1.3765565E-5,1.3765565E-5,1.0,0.0,5.4845623E-5,5.899409E-5,5.899409E-5,1.0,0.0,6.675408E-4,7.18042E-4,7.18042E-4,1.0,0.0,0.006655392,0.00715977,0.00715977,1.0,0.0
6.6,9.661896E-6,1.0289038E-5,1.0289038E-5,1.0,0.0,4.1407468E-5,4.409522E-5,4.409522E-5,1.0,0.0,5.040193E-4,5.367433E-4,5.367433E-4,1.0,0.0,0.005028777,0.0053560743,0.0053560743,1.0,0.0
6.7,7.767871E-6,8.199687E-6,8.199687E-6,1.0,0.0,3.329045E-5,3.5141118E-5,3.5141118E-5,1.0,0.0,4.0523586E-4,4.2777284E-4,4.2777284E-4,1.0,0.0,0.004044977,0.004270846,0.004270846,1.0,0.0
6.8,6.4235196E-6,6.7357446E-6,6.7357446E-6,1.0,0.0,2.752908E-5,2.8867229E-5,2.8867229E-5,1.0,0.0,3.35115E-4,3.5141467E-4,3.5141467E-4,1.0,0.0,0.003346101,0.00350985,0.00350985,1.0,0.0
6.9,3.1283696E-6,3.1121804E-6,3.1121804E-6,1.0,0.0,1.3407229E-5,1.3337856E-5,1.3337856E-5,1.0,0.0,1.6322079E-4,1.6237781E-4,1.6237781E-4,1.0,0.0,0.0016310095,0.00162274,0.00162274,1.0,0.0
7.0,2.290603E-6,2.2286815E-6,2.2286815E-6,1.0,0.0,9.816834E-6,9.551463E-6,9.551463E-6,1.0,0.0,1.19513395E-4,1.162839E-4,1.162839E-4,1.0,0.0,0.0011944914,0.0011623327,0.0011623327,1.0,0.0
7.1,1.293693E-6,1.1776827E-6,1.1776827E-6,1.0,0.0,5.5443866E-6,5.0472063E-6,5.0472063E-6,1.0,0.0,6.750081E-5,6.14487E-5,6.14487E-5,1.0,0.0,6.7480316E-4,6.143856E-4,6.143856E-4,1.0,0.0
7.2,4.715842E-7,3.0917857E-7,3.0917857E-7,1.0,0.0,2.0210737E-6,1.3250503E-6,1.3250503E-6,1.0,0.0,2.4606294E-5,1.6132375E-5,1.6132375E-5,1.0,0.0,2.460357E-4,1.6131258E-4,1.6131258E-4,1.0,0.0
7.3,3.9430947E-7,2.3097488E-7,2.3097488E-7,1.0,0.0,1.6898966E-6,9.89892E-7,9.89892E-7,1.0,0.0,2.0574296E-5,1.2051869E-5,1.2051869E-5,1.0,0.0,2.0572392E-4,1.20512224E-4,1.20512224E-4,1.0,0.0
7.4,3.547123E-7,1.9679135E-7,1.9679135E-7,1.0,0.0,1.5201948E-6,8.4339126E-7,8.4339126E-7,1.0,0.0,1.8508214E-5,1.0268241E-5,1.0268241E-5,1.0,0.0,1.8506673E-4,1.02677724E-4,1.02677724E-4,1.0,0.0
7.5,2.6354266E-7,1.4423138E-7,1.4423138E-7,1.0,0.0,1.129468E-6,6.181344E-7,6.181344E-7,1.0,0.0,1.3751187E-5,7.5257603E-6,7.5257603E-6,1.0,0.0,1.3750336E-4,7.5255106E-5,7.5255106E-5,1.0,0.0
7.6,1.269913E-7,7.572556E-8,7.572556E-8,1.0,0.0,5.4424834E-7,3.245381E-7,3.245381E-7,1.0,0.0,6.6262032E-6,3.9512443E-6,3.9512443E-6,1.0,0.0,6.626006E-5,3.9511775E-5,3.9511775E-5,1.0,0.0
