Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,3102.6,2572.0,3711.0,3049.0,3255.0,1.0,0.1,1781.1
2.6,2461.9,2013.0,2935.0,2413.0,2515.0,1.0,0.1,1409.7
2.7,1963.1,1593.0,2310.0,1916.0,2034.0,1.0,0.1,1122.6
2.8,1547.0,1243.0,1836.0,1514.0,1514.0,1.0,0.1,884.6
2.9,1225.4,991.0,1440.0,1227.0,1259.0,1.0,0.1,701.1
3.0,971.3,791.0,1130.0,979.0,984.0,1.0,0.1,553.0
3.1,766.5,621.0,900.0,761.0,783.0,1.0,0.1,438.8
3.2,610.9,484.0,734.0,621.0,622.0,1.0,0.1,348.6
3.3,487.9,379.0,596.0,491.0,491.0,1.0,0.1,276.9
3.4,388.7,294.0,488.0,393.0,396.0,1.0,0.1,220.6
3.5,308.4,235.0,381.0,306.0,317.0,1.0,0.1,176.5
3.6,247.1,191.0,304.0,248.0,250.0,1.0,0.1,142.9
3.7,196.9,144.0,243.0,194.0,197.0,1.0,0.1,113.4
3.8,155.2,107.0,205.0,154.0,157.0,1.0,0.1,88.2
3.9,121.5,92.0,161.0,119.0,122.0,1.0,0.1,70.1
4.0,96.4,69.0,127.0,97.0,97.0,1.0,0.1,55.1
4.1,75.8,54.0,95.0,76.0,77.0,1.0,0.1,43.8
4.2,59.3,41.0,78.0,60.0,60.0,1.0,0.1,34.9
4.3,47.3,30.0,67.0,46.0,48.0,1.0,0.1,28.2
4.4,38.5,22.0,51.0,38.0,49.0,1.0,0.1,23.3
4.5,31.0,19.0,42.0,31.0,33.0,1.0,0.1,19.0
4.6,24.6,15.0,36.0,25.0,29.0,1.0,0.1,15.1
4.7,20.0,12.0,30.0,19.0,19.0,1.0,0.1,12.2
4.8,16.2,5.0,23.0,17.0,23.0,1.0,0.1,9.9
4.9,11.6,2.0,20.0,13.0,13.0,1.0,0.1,7.2
5.0,8.6,2.0,14.0,6.0,6.0,1.0,0.1,5.0
5.1,6.6,2.0,13.0,5.0,5.0,1.0,0.1,4.0
5.2,5.0,2.0,10.0,3.0,3.0,1.0,0.1,3.0
5.3,3.3,1.0,7.0,2.0,2.0,1.0,0.1,1.9
5.4,2.5,0.0,6.0,2.0,2.0,0.9,0.1,1.4
5.5,1.9,0.0,6.0,2.0,2.0,0.7,0.1,1.0
5.6,1.4,0.0,5.0,1.0,0.0,0.6,0.1,0.8
5.7,0.6,0.0,3.0,0.0,0.0,0.4,0.1,0.3
5.8,0.5,0.0,3.0,0.0,0.0,0.3,0.1,0.2
5.9,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.0,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.1,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.2,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.3,0.1,0.0,1.0,0.0,0.0,0.1,0.1,0.1
6.4,0.1,0.0,1.0,0.0,0.0,0.1,0.1,0.1
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
