Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,1088.7,961.0,1238.0,1073.0,1121.0,1.0,0.0,883.4
2.6,865.3,764.0,981.0,846.0,887.0,1.0,0.0,702.2
2.7,688.4,588.0,768.0,679.0,715.0,1.0,0.0,558.6
2.8,543.3,447.0,606.0,535.0,566.0,1.0,0.0,440.6
2.9,432.7,358.0,493.0,442.0,451.0,1.0,0.0,350.5
3.0,340.6,285.0,390.0,346.0,347.0,1.0,0.0,275.2
3.1,268.3,225.0,306.0,263.0,267.0,1.0,0.0,217.7
3.2,211.3,177.0,239.0,209.0,209.0,1.0,0.0,172.0
3.3,169.9,136.0,197.0,173.0,161.0,1.0,0.0,137.0
3.4,138.2,105.0,162.0,144.0,146.0,1.0,0.0,111.5
3.5,108.6,84.0,132.0,110.0,111.0,1.0,0.0,89.0
3.6,86.8,68.0,109.0,87.0,87.0,1.0,0.0,71.4
3.7,69.3,54.0,86.0,68.0,68.0,1.0,0.0,57.2
3.8,54.1,37.0,72.0,55.0,55.0,1.0,0.0,44.6
3.9,43.7,34.0,57.0,43.0,47.0,1.0,0.0,35.6
4.0,34.3,27.0,45.0,33.0,33.0,1.0,0.0,27.6
4.1,27.1,19.0,34.0,26.0,34.0,1.0,0.0,21.8
4.2,21.4,12.0,28.0,21.0,21.0,1.0,0.0,17.7
4.3,17.3,7.0,24.0,16.0,19.0,1.0,0.0,14.3
4.4,14.4,7.0,22.0,13.0,16.0,1.0,0.0,12.0
4.5,11.1,6.0,20.0,10.0,10.0,1.0,0.0,9.5
4.6,8.6,4.0,17.0,7.0,9.0,1.0,0.0,7.3
4.7,6.8,2.0,14.0,6.0,7.0,1.0,0.0,5.8
4.8,5.7,1.0,14.0,5.0,5.0,1.0,0.0,4.7
4.9,3.9,1.0,9.0,3.0,2.0,1.0,0.0,3.2
5.0,2.9,0.0,5.0,3.0,4.0,0.9,0.0,2.2
5.1,2.5,0.0,5.0,2.0,3.0,0.9,0.0,1.9
5.2,1.9,0.0,5.0,1.0,1.0,0.8,0.0,1.5
5.3,1.4,0.0,4.0,1.0,1.0,0.8,0.0,1.0
5.4,0.9,0.0,3.0,1.0,1.0,0.6,0.0,0.7
5.5,0.7,0.0,2.0,0.0,0.0,0.5,0.0,0.5
5.6,0.4,0.0,2.0,0.0,0.0,0.3,0.0,0.4
5.7,0.1,0.0,1.0,0.0,0.0,0.1,0.0,0.1
5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
