Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,418.8,353.0,483.0,412.0,413.0,1.0,0.0,391.4
2.6,336.3,289.0,388.0,329.0,330.0,1.0,0.0,313.6
2.7,269.6,230.0,308.0,266.0,267.0,1.0,0.0,251.1
2.8,214.5,183.0,243.0,209.0,218.0,1.0,0.0,200.1
2.9,167.9,147.0,194.0,167.0,167.0,1.0,0.0,157.1
3.0,132.3,110.0,159.0,128.0,128.0,1.0,0.0,123.8
3.1,106.1,85.0,129.0,103.0,122.0,1.0,0.0,99.3
3.2,83.9,64.0,107.0,83.0,68.0,1.0,0.0,78.6
3.3,68.0,54.0,89.0,63.0,79.0,1.0,0.0,63.6
3.4,54.8,43.0,70.0,50.0,56.0,1.0,0.0,51.4
3.5,44.2,30.0,56.0,42.0,56.0,1.0,0.0,41.9
3.6,36.6,27.0,47.0,35.0,31.0,1.0,0.0,34.8
3.7,29.4,19.0,40.0,27.0,36.0,1.0,0.0,28.1
3.8,22.4,14.0,30.0,20.0,20.0,1.0,0.0,21.5
3.9,17.3,11.0,23.0,17.0,23.0,1.0,0.0,16.5
4.0,12.7,9.0,17.0,12.0,9.0,1.0,0.0,11.9
4.1,10.0,4.0,15.0,9.0,8.0,1.0,0.0,9.2
4.2,7.9,3.0,13.0,8.0,10.0,1.0,0.0,7.3
4.3,5.8,1.0,11.0,5.0,7.0,1.0,0.0,5.2
4.4,5.1,1.0,10.0,3.0,7.0,1.0,0.0,4.6
4.5,4.3,1.0,8.0,3.0,2.0,1.0,0.0,4.0
4.6,3.2,1.0,7.0,3.0,3.0,1.0,0.0,3.0
4.7,2.5,0.0,5.0,2.0,3.0,0.9,0.0,2.4
4.8,2.0,0.0,5.0,1.0,1.0,0.8,0.0,1.9
4.9,1.6,0.0,4.0,1.0,0.0,0.6,0.0,1.5
5.0,1.0,0.0,4.0,0.0,0.0,0.5,0.0,0.9
5.1,0.9,0.0,4.0,0.0,0.0,0.5,0.0,0.8
5.2,0.7,0.0,4.0,0.0,0.0,0.4,0.0,0.7
5.3,0.5,0.0,2.0,0.0,0.0,0.4,0.0,0.5
5.4,0.4,0.0,1.0,0.0,0.0,0.4,0.0,0.4
5.5,0.4,0.0,1.0,0.0,0.0,0.4,0.0,0.4
5.6,0.3,0.0,1.0,0.0,0.0,0.3,0.0,0.3
5.7,0.1,0.0,1.0,0.0,0.0,0.1,0.0,0.1
5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
