Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,1891.8,1672.0,2118.0,1885.0,1933.0,1.0,0.0,1313.5
2.6,1508.9,1316.0,1684.0,1508.0,1540.0,1.0,0.0,1045.1
2.7,1204.9,1059.0,1341.0,1213.0,1243.0,1.0,0.0,833.8
2.8,951.9,823.0,1049.0,970.0,980.0,1.0,0.0,660.5
2.9,760.5,645.0,859.0,765.0,783.0,1.0,0.0,526.0
3.0,603.8,496.0,689.0,609.0,616.0,1.0,0.0,415.7
3.1,475.1,391.0,522.0,483.0,483.0,1.0,0.0,328.8
3.2,376.2,292.0,419.0,383.0,384.0,1.0,0.0,259.8
3.3,303.4,233.0,346.0,310.0,312.0,1.0,0.0,208.5
3.4,245.3,178.0,288.0,252.0,253.0,1.0,0.0,169.3
3.5,192.1,136.0,225.0,197.0,197.0,1.0,0.0,134.4
3.6,153.0,115.0,182.0,155.0,157.0,1.0,0.0,108.5
3.7,122.0,93.0,144.0,124.0,126.0,1.0,0.0,86.1
3.8,94.7,66.0,104.0,101.0,103.0,1.0,0.0,67.1
3.9,74.7,58.0,88.0,78.0,78.0,1.0,0.0,53.2
4.0,57.8,45.0,72.0,59.0,63.0,1.0,0.0,40.7
4.1,45.3,34.0,56.0,47.0,36.0,1.0,0.0,31.8
4.2,35.4,26.0,51.0,32.0,41.0,1.0,0.0,25.6
4.3,28.8,19.0,42.0,26.0,19.0,1.0,0.0,20.8
4.4,23.6,15.0,32.0,22.0,29.0,1.0,0.0,17.4
4.5,18.7,13.0,25.0,19.0,19.0,1.0,0.0,14.2
4.6,14.5,9.0,22.0,14.0,17.0,1.0,0.0,11.0
4.7,11.5,7.0,17.0,11.0,11.0,1.0,0.0,8.7
4.8,9.3,3.0,17.0,9.0,9.0,1.0,0.0,6.8
4.9,6.7,2.0,11.0,6.0,6.0,1.0,0.0,4.8
5.0,5.3,2.0,8.0,5.0,6.0,1.0,0.0,3.4
5.1,4.4,2.0,7.0,4.0,5.0,1.0,0.0,2.9
5.2,3.3,1.0,6.0,3.0,2.0,1.0,0.0,2.1
5.3,2.1,1.0,4.0,2.0,1.0,1.0,0.0,1.2
5.4,1.6,0.0,4.0,1.0,2.0,0.8,0.0,0.9
5.5,1.3,0.0,4.0,1.0,1.0,0.7,0.0,0.7
5.6,0.9,0.0,3.0,0.0,0.0,0.5,0.0,0.6
5.7,0.4,0.0,2.0,0.0,0.0,0.3,0.0,0.2
5.8,0.3,0.0,2.0,0.0,0.0,0.2,0.0,0.1
5.9,0.1,0.0,1.0,0.0,0.0,0.1,0.0,0.1
6.0,0.1,0.0,1.0,0.0,0.0,0.1,0.0,0.1
6.1,0.1,0.0,1.0,0.0,0.0,0.1,0.0,0.1
6.2,0.1,0.0,1.0,0.0,0.0,0.1,0.0,0.1
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
